Protocol,Mode,Scenario,Run,Seed,N,Slot,OnsetSlot,HotspotActive,Algorithm,BudgetFraction,Satisfaction,Migrations,MigrationMB,AdmissionTransitions,RejectionTransitions,TotalPlacementStateTransitions,AdmittedTasks,RejectedTasks,RuntimeSec,BudgetGuardEnabled,MoveBudget,RepairOverride,BudgetExcess,ResourceViolationRate
paper2_revision_v3_transition_audit_20260906,SMOKE,compute_hotspot,1,2026074101,180,21,11,1,HIVE,0.05,48.3333333333333,49,71.6044,0,0,49,142,38,2.2213793,0,NaN,0,0,0
paper2_revision_v3_transition_audit_20260906,SMOKE,compute_hotspot,1,2026074101,180,21,11,1,BigMECGreedy,0.05,44.4444444444444,21,32.2518,0,1,22,141,39,0.0007952,0,NaN,0,0,0
paper2_revision_v3_transition_audit_20260906,SMOKE,compute_hotspot,1,2026074101,180,21,11,1,BudgetedLNS,0.05,60,0,0,0,0,0,141,39,0.1406468,1,9,0,0,0
paper2_revision_v3_transition_audit_20260906,SMOKE,compute_hotspot,1,2026074101,180,22,11,1,FullResched,0.05,49.4444444444444,46,69.4144,0,0,46,140,40,0.0120438,0,NaN,0,0,0
paper2_revision_v3_transition_audit_20260906,SMOKE,compute_hotspot,1,2026074101,180,22,11,1,HIVE,0.05,43.3333333333333,63,85.8059999999999,0,2,65,140,40,0.9442502,0,NaN,0,0,0
paper2_revision_v3_transition_audit_20260906,SMOKE,compute_hotspot,1,2026074101,180,22,11,1,BigMECGreedy,0.05,41.6666666666667,16,22.6294,0,0,16,141,39,0.0014724,0,NaN,0,0,0
paper2_revision_v3_transition_audit_20260906,SMOKE,compute_hotspot,1,2026074101,180,22,11,1,BudgetedLNS,0.05,54.4444444444444,2,3.4508,0,0,2,141,39,0.1051165,1,9,0,0,0
paper2_revision_v3_transition_audit_20260906,SMOKE,compute_hotspot,1,2026074101,180,23,11,1,FullResched,0.05,61.1111111111111,64,94.4991999999999,0,1,65,139,41,0.0096353,0,NaN,0,0,0
paper2_revision_v3_transition_audit_20260906,SMOKE,compute_hotspot,1,2026074101,180,23,11,1,HIVE,0.05,52.2222222222222,54,74.259,0,0,54,140,40,0.887194,0,NaN,0,0,0
paper2_revision_v3_transition_audit_20260906,SMOKE,compute_hotspot,1,2026074101,180,23,11,1,BigMECGreedy,0.05,52.2222222222222,20,28.5356,0,1,21,140,40,0.0003776,0,NaN,0,0,0
paper2_revision_v3_transition_audit_20260906,SMOKE,compute_hotspot,1,2026074101,180,23,11,1,BudgetedLNS,0.05,58.3333333333333,5,7.6316,0,1,6,140,40,0.0797311,1,9,0,0,0
paper2_revision_v3_transition_audit_20260906,SMOKE,compute_hotspot,1,2026074101,180,24,11,1,FullResched,0.05,56.6666666666667,51,73.0644,0,0,51,139,41,0.0095124,0,NaN,0,0,0
paper2_revision_v3_transition_audit_20260906,SMOKE,compute_hotspot,1,2026074101,180,24,11,1,HIVE,0.05,52.7777777777778,51,68.0874,0,1,52,139,41,0.9550705,0,NaN,0,0,0
